api_name,text_clean
__WSAFDIsSet,Specifies whether a socket is included in a set of socket descriptors.
_CancelPendingNavigationAsync,Deprecated. Enables a derived class to request that the base class cancel any pending navigation.
_CancelPendingView,Deprecated. Enables a derived class to request that the base class cancel any pending views.
_CloseAndReleaseToolbars,Deprecated. Requests the closing of the browser toolbars hosted by the derived class.
_DisableModeless,Deprecated. Enables a derived class to ask the base class whether a modal UI is visible. A modal UI blocks minimize and close behavior in the browser window.
_ExecChildren,"Deprecated. Enables the derived class to issue a command through the IOleCommandTarget::Exec method directly, instead of relying on the base class."
_FindTBar,Deprecated. Returns the index of a browser toolbar item based on Component Object Model  identity rules.
_get_itbLastFocus,Deprecated. Gets the ID of the last toolbar or view that had focus.
_GetBorderDWHelper,Deprecated. A helper method for the implementation of GetBorderDW.
_GetEffectiveClientArea,Deprecated. Used with IBrowserService2::_GetViewBorderRect to negotiate the dimensions of the browser view.
_GetToolbarCount,Deprecated. Returns the number of toolbars in the browser window.
_GetToolbarItem,Deprecated. Gets a specific item from a toolbar.
_GetViewBorderRect,Deprecated. Used with IBrowserService2::_GetEffectiveClientArea to negotiate the size and position of the browser view.
_IInkEditEvents_AddRef,Increases the reference count of the IInkEditEvents interface object by 1. This method is part of the IUnknown interface inherited by IInkEditEvents.
_IInkEditEvents_GetIDsOfNames,Maps a set of names to a corresponding set of DISPIDs.
_IInkEditEvents_GetTypeInfo,"Retrieves the type information for the object, which can then be used to get the type information for an interface."
_IInkEditEvents_GetTypeInfoCount,Retrieves the number of type information interfaces the object provides.
_IInkEditEvents_Invoke,Provides access to properties and methods exposed by the object.
_IInkEditEvents_QueryInterface,Queries for a given COM interface on the IInkEditEvents object.
_IInkEditEvents_Release,Releases a reference to the IInkEditEvents object.
_Initialize,Deprecated. Coordinates the initializing of state between the base and the derived classes.
_InlineInterlockedAdd,Performs an atomic addition operation on the specified LONG values. The operation is performed with acquire memory ordering semantics.
_InlineInterlockedAdd64,Performs an atomic addition operation on the specified LONG64 values.
_interlockedbittestandreset,Tests the specified bit of the specified LONG value and sets it to 0. The operation is atomic.
_interlockedbittestandreset64,Tests the specified bit of the specified LONG64 value and sets it to 0. The operation is atomic.
_interlockedbittestandset,Tests the specified bit of the specified LONG value and sets it to 1. The operation is atomic.
_interlockedbittestandset64,Tests the specified bit of the specified LONG64 value and sets it to 1. The operation is atomic.
_lclose,The _lclose function closes the specified file so that it is no longer available for reading or writing. This function is provided for compatibility with 16-bit versions of Windows. Win32-based applications should use the CloseHandle function.
_lcreat,Creates or opens the specified file.
_llseek,Repositions the file pointer for the specified file.
_LoadToolbars,Deprecated. Loads the saved state of the browser's toolbars.
_lopen,Opens an existing file and sets the file pointer to the beginning of the file. This function is provided for compatibility with 16-bit versions of Windows. Win32-based applications should use the CreateFile function.
